Date	Temperature	Humidity
(2021, 10, 27, 2, 18, 38, 35, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 38, 40, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 38, 46, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 38, 51, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 38, 56, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 39, 1, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 39, 6, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 39, 11, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 39, 16, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 39, 21, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 39, 26, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 39, 31, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 39, 36, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 39, 41, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 39, 46, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 39, 52, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 39, 57, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 40, 2, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 40, 7, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 40, 12, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 40, 17, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 40, 22, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 40, 27, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 40, 32, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 40, 37, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 40, 42, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 40, 47, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 40, 53, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 40, 58, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 41, 3, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 41, 8, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 41, 13, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 41, 18, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 41, 23, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 41, 28, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 41, 33, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 41, 38, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 41, 43, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 41, 48, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 41, 53, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 41, 59, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 42, 4, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 42, 9, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 42, 14, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 42, 19, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 42, 24, 0)	20.8	45.0%
(2021, 10, 27, 2, 18, 42, 29, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 42, 34, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 42, 39, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 42, 44, 0)	20.8	45.0%
